Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
79000000;;XG-0000003057-00001;;;Debet;1639,65;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;1639,65;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Kredit;2100;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2100;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Debet;1996;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;1996;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Debet;4;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Debet;547,41;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;547,41;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Debet;4;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Debet;696,66;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;696,66;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Debet;8398,23;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;8398,23;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Debet;6720;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;6720;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Debet;17212,23;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;17212,23;;100054102 Sygesikring;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00001;;;Debet;2155,88;;100054102 Sygesikring;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;2155,88;;100054102 Sygesikring;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;189;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
90540000;;;;;Debet;189;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;30;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
90540000;;;;;Debet;30;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;120;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120;;DK4922735;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;179;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;179;;DK4922735;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;826;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;826;;DK4922735;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;120;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120;;DK4922735;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;942;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;942;;DK4922735;;;;;;;;;;;;;;;;

