Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
90540000;;;;;Debet;94,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;94,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;248,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;248,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;245,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;245,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;163,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;163,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.635,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;1.635,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;120,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;265,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;265,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;62,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;62,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;505,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;505,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;143,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;143,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;53,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;53,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;72,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;72,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;311,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
