Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
90541000;;;;;Debet;259,74;;Overførsel                         Meddelnr. 02311752125121;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;259,74;;Overførsel                         Meddelnr. 02311752125121;;;;;;;;;;;;;;;;
90541000;;;;;Debet;1.623,37;;Overførsel                         Meddelnr. 02311749125121;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;1.623,37;;Overførsel                         Meddelnr. 02311749125121;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.129,50;;P5908764988202505010000933409;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1.129,50;;P5908764988202505010000933409;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.883,50;;P5908764988202505010000933408;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2.883,50;;P5908764988202505010000933408;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.268,50;;P5908764988202505010000933407;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1.268,50;;P5908764988202505010000933407;;;;;;;;;;;;;;;;
90540000;;;;;Debet;20.803,00;;P5908764988202505010000933406;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;20.803,00;;P5908764988202505010000933406;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;12.278,28;;0505792971HTFP                     PSBGS25004651337                   3512107446      NTRF;;;;;;;;;;;;;;;;
95931701;;;;;Debet;12.278,28;;0505792971HTFP                     PSBGS25004651337                   3512107446      NTRF;;;;;;;;;;;;;;;;
90540000;;;;;Debet;256.075,93;;Mobilepay 4000000000013004251;;;;;;;;;;;;;;;;
91407041;;;;;Kredit;256.075,93;;Mobilepay 4000000000013004251;;;;;;;;;;;;;;;;
90540000;;;;;Debet;10.801,72;;Mobilepay 3000000000013004252;;;;;;;;;;;;;;;;
91407041;;;;;Kredit;10.801,72;;Mobilepay 3000000000013004252;;;;;;;;;;;;;;;;
90540000;;;;;Debet;838,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00044;;;Kredit;838,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;29,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00041;;;Kredit;29,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;149,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00040;;;Kredit;149,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;30,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00033;;;Kredit;30,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;30,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00048;;;Kredit;30,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;233,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00039;;;Kredit;233,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;533,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00038;;;Kredit;533,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;937,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00037;;;Kredit;937,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;827,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00046;;;Kredit;827,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00030;;;Kredit;120,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;135,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00036;;;Kredit;135,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;397,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00045;;;Kredit;397,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;75,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000002484-00001;;;Kredit;75,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;8,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000002668-00017;;;Kredit;8,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;917,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000002511-00021;;;Kredit;917,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;30,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00041;;;Kredit;30,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;24,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000003040-00046;;;Kredit;24,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;20,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000002511-00020;;;Kredit;20,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;11.675,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
79000000;;XG-0000003397-00016;;;Kredit;11.675,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;300,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
79000000;;XG-0000002667-00008;;;Kredit;300,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;480,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000002461-00001;;;Kredit;480,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;605,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00018;;;Kredit;605,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;32,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00044;;;Kredit;32,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;490,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
72000000;;XG-0000002475-00016;;;Kredit;490,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
90540000;;;;;Debet;400,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
79000000;;XG-0000005086-00001;;;Kredit;400,00;;Indtægter via MobilePay;;;;;;;;;;;;;;;;
