Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
90540000;;;;;Debet;522,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;522,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.034,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;1.034,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.034,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;1.034,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;370,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;370,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.034,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;1.034,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;996,00;;Indtægter via betalingskort - Kasernen;;;;;;;;;;;;;;;;
72000000;;XG-0000005228-00003;;;Kredit;996,00;;Indtægter via betalingskort - Kasernen;;;;;;;;;;;;;;;;
90540000;;;;;Debet;541,00;;Indtægter via betalingskort - Sundhedshuset;;;;;;;;;;;;;;;;
72000000;;XG-0000005228-00003;;;Kredit;541,00;;Indtægter via betalingskort - Sundhedshuset;;;;;;;;;;;;;;;;
90540000;;;;;Debet;159,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00031;;;Kredit;159,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;75,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00045;;;Kredit;75,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;4.160,00;;Indtægter via betalingskort - Laksetorvet;;;;;;;;;;;;;;;;
72000000;;XG-0000005228-00003;;;Kredit;4.160,00;;Indtægter via betalingskort - Laksetorvet;;;;;;;;;;;;;;;;
90540000;;;;;Debet;405,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000004025-00002;;;Kredit;405,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;200,00;;Dankort-salg 02.05 5078318 2823;;;;;;;;;;;;;;;;
79000000;;XG-0000002667-00008;;;Kredit;200,00;;Dankort-salg 02.05 5078318 2823;;;;;;;;;;;;;;;;
90540000;;;;;Debet;227,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;227,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.021,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;1.021,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;373,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;373,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;798,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;798,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;354,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;354,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;195,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;195,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;422,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;422,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;892,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;892,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;95,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;95,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;62,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;62,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;148,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;148,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;49,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;49,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;147,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;147,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;136,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;136,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;96,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;96,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;128,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;128,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;120,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;426,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;426,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;219,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;219,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;464,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;464,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;306,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;306,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;294,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;294,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;24,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;24,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;181,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;181,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;739,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;739,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;240,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;240,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6.300,00;;Indtægter via betalingskort 4862899;;;;;;;;;;;;;;;;
79000000;;XG-0000005094-00001;;;Kredit;6.300,00;;Indtægter via betalingskort 4862899;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3.480,00;;Indtægter via betalingskort 4862899;;;;;;;;;;;;;;;;
79000000;;XG-0000005094-00001;;;Kredit;3.480,00;;Indtægter via betalingskort 4862899;;;;;;;;;;;;;;;;
90540000;;;;;Debet;600,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
95931205;;;;;Kredit;600,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;600,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
95931205;;;;;Kredit;600,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;570,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00036;;;Kredit;570,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;62,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00044;;;Kredit;62,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.355,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00044;;;Kredit;1.355,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;346,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00027;;;Kredit;346,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;315,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00038;;;Kredit;315,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;79,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00030;;;Kredit;79,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;288,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00028;;;Kredit;288,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;67,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00033;;;Kredit;67,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.041,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00046;;;Kredit;1.041,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;411,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00041;;;Kredit;411,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;122,50;;Indtægter via Dankort 2471043;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;122,50;;Indtægter via Dankort 2471043;;;;;;;;;;;;;;;;
90540000;;;;;Debet;25,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
95941202;;;;;Kredit;25,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;13.904,50;;Indtægter via Bambora;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00009;;;Kredit;13.904,50;;Indtægter via Bambora;;;;;;;;;;;;;;;;
90540000;;;;;Debet;34.934,40;;Indtægter via Bambora;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00009;;;Kredit;34.934,40;;Indtægter via Bambora;;;;;;;;;;;;;;;;
90540000;;;;;Debet;117,78;;Overførsel 2025-03 Vindstød;;;;;;;;;;;;;;;;
72000000;;XG-0000005311-00001;;;Kredit;117,78;;Overførsel 2025-03 Vindstød;;;;;;;;;;;;;;;;
90540000;;;;;Debet;227,02;;Overførsel 2025-03 Vindstød;;;;;;;;;;;;;;;;
72000000;;XG-0000005311-00001;;;Kredit;227,02;;Overførsel 2025-03 Vindstød;;;;;;;;;;;;;;;;
90540000;;;;;Debet;169,45;;Overførsel 2025-03 Vindstød;;;;;;;;;;;;;;;;
72000000;;XG-0000005311-00001;;;Kredit;169,45;;Overførsel 2025-03 Vindstød;;;;;;;;;;;;;;;;
90540000;;;;;Debet;8.284,00;;Overførsel N36549770447;;;;;;;;;;;;;;;;
91407040;;;;;Kredit;8.284,00;;Overførsel N36549770447;;;;;;;;;;;;;;;;
90540000;;;;;Debet;17.495,32;;Overførsel N27026770280;;;;;;;;;;;;;;;;
95950005;;;;;Kredit;17.495,32;;Overførsel N27026770280;;;;;;;;;;;;;;;;
90540000;;;;;Debet;628,51;;P5908764988202505050000933801;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;628,51;;P5908764988202505050000933801;;;;;;;;;;;;;;;;
90540000;;;;;Debet;13.501,40;;Udbetaling Danmark Bidrag;;;;;;;;;;;;;;;;
95920000;;;;;Kredit;13.501,40;;Udbetaling Danmark Bidrag;;;;;;;;;;;;;;;;
90540000;;;;;Debet;19.011,00;;P5908764988202505050000933799;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;19.011,00;;P5908764988202505050000933799;;;;;;;;;;;;;;;;
90540000;;;;;Debet;4.764.488,04;;P5908764988202505050000933798;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;4.764.488,04;;P5908764988202505050000933798;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14.960,00;;P5908764988202505050000933797;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;14.960,00;;P5908764988202505050000933797;;;;;;;;;;;;;;;;
90540000;;;;;Debet;9.200,00;;P5908764988202505050000933796;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;9.200,00;;P5908764988202505050000933796;;;;;;;;;;;;;;;;
90540000;;;;;Debet;11.273,60;;P5908764988202505050000933795;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;11.273,60;;P5908764988202505050000933795;;;;;;;;;;;;;;;;
90540000;;;;;Debet;11.040,00;;P5908764988202505050000933794;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;11.040,00;;P5908764988202505050000933794;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14.800,00;;P5908764988202505050000933793;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;14.800,00;;P5908764988202505050000933793;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14.528,00;;P5908764988202505050000933792;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;14.528,00;;P5908764988202505050000933792;;;;;;;;;;;;;;;;
90540000;;;;;Debet;928,15;;219961 041074 Iben H;;;;;;;;;;;;;;;;
90520001;;;;;Kredit;928,15;;219961 041074 Iben H;;;;;;;;;;;;;;;;
90540000;;;;;Debet;450,30;;219927 040587 Nicoli;;;;;;;;;;;;;;;;
90520001;;;;;Kredit;450,30;;219927 040587 Nicoli;;;;;;;;;;;;;;;;
90540000;;;;;Debet;450,30;;219926 270882 Louise;;;;;;;;;;;;;;;;
90520001;;;;;Kredit;450,30;;219926 270882 Louise;;;;;;;;;;;;;;;;
90540000;;;;;Debet;450,30;;P5908764988202505050000933788;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;450,30;;P5908764988202505050000933788;;;;;;;;;;;;;;;;
90540000;;;;;Debet;891,03;;P5908764988202505050000933787;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;891,03;;P5908764988202505050000933787;;;;;;;;;;;;;;;;
90540000;;;;;Debet;55.286,00;;P5908764988202505050000933786;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;55.286,00;;P5908764988202505050000933786;;;;;;;;;;;;;;;;
90540000;;;;;Debet;29.718,00;;P5908764988202505050000933785;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;29.718,00;;P5908764988202505050000933785;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14.442,52;;Udbetaling Danmark                 Meddelnr. 02346919025123;;;;;;;;;;;;;;;;
90520001;;;;;Kredit;14.442,52;;Udbetaling Danmark                 Meddelnr. 02346919025123;;;;;;;;;;;;;;;;
90540000;;;;;Debet;18.821,00;;P5908764988202505050000933783;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;18.821,00;;P5908764988202505050000933783;;;;;;;;;;;;;;;;
90540000;;;;;Debet;13.707,22;;P5908764988202505050000933782;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;13.707,22;;P5908764988202505050000933782;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6.934,00;;P5908764988202505050000933781;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;6.934,00;;P5908764988202505050000933781;;;;;;;;;;;;;;;;
