Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
90541000;;;;;Debet;5.855,00;;Bgs FP50093353;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;5.855,00;;Bgs FP50093353;;;;;;;;;;;;;;;;
90540000;;;;;Debet;186,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;186,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;162,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;162,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;203,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;203,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;243,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;243,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;120,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;156,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;156,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;838,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;838,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;222,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;222,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;966,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;966,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;120,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.380,00;;Indtægter via betalingskort 4862899;;;;;;;;;;;;;;;;
79000000;;XG-0000005094-00001;;;Kredit;1.380,00;;Indtægter via betalingskort 4862899;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.340,00;;Indtægter via betalingskort 4862899;;;;;;;;;;;;;;;;
79000000;;XG-0000005094-00001;;;Kredit;2.340,00;;Indtægter via betalingskort 4862899;;;;;;;;;;;;;;;;
90540000;;;;;Debet;206,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000003040-00018;;;Kredit;206,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.515,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
95931205;;;;;Kredit;2.515,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.068,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
95931205;;;;;Kredit;2.068,00;;Indtægter via Dankort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;50,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00035;;;Kredit;50,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;547,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00036;;;Kredit;547,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.216,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00044;;;Kredit;2.216,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;620,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00027;;;Kredit;620,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;226,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00038;;;Kredit;226,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;19,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00030;;;Kredit;19,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;248,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00028;;;Kredit;248,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;238,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00033;;;Kredit;238,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;409,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00046;;;Kredit;409,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.153,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00041;;;Kredit;1.153,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;157,50;;Indtægter via Dankort 2471043;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;157,50;;Indtægter via Dankort 2471043;;;;;;;;;;;;;;;;
90540000;;;;;Debet;100,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
95941202;;;;;Kredit;100,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.460,38;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
95941202;;;;;Kredit;2.460,38;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;7.528,24;;Overførsel Skattekontoen, kredi;;;;;;;;;;;;;;;;
95990036;;;;;Kredit;7.528,24;;Overførsel Skattekontoen, kredi;;;;;;;;;;;;;;;;
90540000;;;;;Debet;19.437,32;;Overførsel Skattekontoen, kredi;;;;;;;;;;;;;;;;
95990036;;;;;Kredit;19.437,32;;Overførsel Skattekontoen, kredi;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3.292,50;;Overførsel Skattekontoen, kredi;;;;;;;;;;;;;;;;
95990036;;;;;Kredit;3.292,50;;Overførsel Skattekontoen, kredi;;;;;;;;;;;;;;;;
