Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
90540000;;;;;Debet;321,48;;H59087649880000933671;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;321,48;;H59087649880000933671;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4.020,96;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;4.020,96;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4,00;;H59087649880000933770;;;;;;;;;;;;;;;;
95990009;;;;;Debet;4,00;;H59087649880000933770;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;3.230,42;;H59087649880000933769;;;;;;;;;;;;;;;;
95990009;;;;;Debet;3.230,42;;H59087649880000933769;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;31.284,03;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;31.284,03;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;5.623,43;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;5.623,43;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;9.741,33;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;9.741,33;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;5.497,81;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;5.497,81;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;12.878,82;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;12.878,82;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;528,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;528,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;87,90;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;87,90;;Cap NKS-KY;;;;;;;;;;;;;;;;
