Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
95991009;;;;;Kredit;2132,2;;Bgs 2011901614;;;;;;;;;;;;;;;;
90541000;;;;;Debet;2132,2;;Bgs 2011901614;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;1612,17;;0303341226;;;;;;;;;;;;;;;;
90541000;;;;;Debet;1612,17;;0303341226;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;9465,13;;50024894;;;;;;;;;;;;;;;;
90541000;;;;;Debet;9465,13;;50024894;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;57519,47;;Bgs HSK1302592426;;;;;;;;;;;;;;;;
90540000;;;;;Debet;57519,47;;Bgs HSK1302592426;;;;;;;;;;;;;;;;
95931701;;;;;Debet;4420,59;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4420,59;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;2445,14;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;2445,14;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;12491,36;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;12491,36;;Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;17538,41;;Udenl. overf. 7464005615120225S103 20015185534320AO;;;;;;;;;;;;;;;;
90540000;;;;;Debet;17538,41;;Udenl. overf. 7464005615120225S103 20015185534320AO;;;;;;;;;;;;;;;;
91407004;;;;;Kredit;168643,4;;Indtægter via FIK;;;;;;;;;;;;;;;;
90540000;;;;;Debet;168643,4;;Indtægter via FIK;;;;;;;;;;;;;;;;
91407030;;;;;Kredit;6419,5;;Indtægter via FIK;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6419,5;;Indtægter via FIK;;;;;;;;;;;;;;;;
91407005;;;;;Kredit;4840;;Indtægter via FIK;;;;;;;;;;;;;;;;
