Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
90541000;;;;;Debet;12.400,00;;Bgs 290568-2205;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;12.400,00;;Bgs 290568-2205;;;;;;;;;;;;;;;;
90540000;;;;;Debet;41.429,00;;P5908764988202504160000931655;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;41.429,00;;P5908764988202504160000931655;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;300,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;300,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;17.089,43;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;17.089,43;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4.000,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;4.000,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;12.240,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;12.240,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;2.582,74;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;2.582,74;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;11.609,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;11.609,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;225,41;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;225,41;;Cap NKS-KY;;;;;;;;;;;;;;;;
