Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
90541000;;;;;Debet;3.000,00;;Bgs 290568-2205;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;3.000,00;;Bgs 290568-2205;;;;;;;;;;;;;;;;
90541000;;;;;Debet;350,00;;Bgs Betaling kontoret;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;350,00;;Bgs Betaling kontoret;;;;;;;;;;;;;;;;
90541000;;;;;Debet;1.795,38;;Overførsel                         Meddelnr. 02223835525120;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;1.795,38;;Overførsel                         Meddelnr. 02223835525120;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;315,00;;P5908764988202504300000933152;;;;;;;;;;;;;;;;
95990009;;;;;Debet;315,00;;P5908764988202504300000933152;;;;;;;;;;;;;;;;
90540000;;;;;Debet;324,00;;Indtægter via Dankort 2471043;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;324,00;;Indtægter via Dankort 2471043;;;;;;;;;;;;;;;;
90540000;;;;;Debet;100,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
95941202;;;;;Kredit;100,00;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;11.373,00;;FAABORG-MIDTFYN KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;11.373,00;;FAABORG-MIDTFYN KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5.772.403,61;;Overførsel Pension 51213513;;;;;;;;;;;;;;;;
95914002;;;;;Kredit;5.772.403,61;;Overførsel Pension 51213513;;;;;;;;;;;;;;;;
90540000;;;;;Debet;300,00;;Overførsel N42250770294;;;;;;;;;;;;;;;;
79000000;;XG-0000003057-00002;;;Kredit;300,00;;Overførsel N42250770294;;;;;;;;;;;;;;;;
90540000;;;;;Debet;40.888,11;;Overførsel N36549770444;;;;;;;;;;;;;;;;
91407040;;;;;Kredit;40.888,11;;Overførsel N36549770444;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3.234,29;;Overførsel N27026770278;;;;;;;;;;;;;;;;
95950005;;;;;Kredit;3.234,29;;Overførsel N27026770278;;;;;;;;;;;;;;;;
90540000;;;;;Debet;554,49;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000003040-00046;;;Kredit;554,49;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.477,64;;Indtægter via internationale kort;;;;;;;;;;;;;;;;
95941202;;;;;Kredit;1.477,64;;Indtægter via internationale kort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;415,46;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000003040-00018;;;Kredit;415,46;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;296,28;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00037;;;Kredit;296,28;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;27.433,90;;VARDE KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;27.433,90;;VARDE KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;13.716,95;;THISTED KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;13.716,95;;THISTED KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14.784,90;;REBILD KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;14.784,90;;REBILD KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;12.083,85;;ODDER KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;12.083,85;;ODDER KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;26.946,40;;NORDDJURS KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;26.946,40;;NORDDJURS KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;13.716,95;;IKAST-BRANDE KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;13.716,95;;IKAST-BRANDE KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3.080,35;;GLADSAXE KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;3.080,35;;GLADSAXE KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3.080,35;;FREDERIKSSUND KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;3.080,35;;FREDERIKSSUND KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;13.716,95;;FREDENSBORG KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;13.716,95;;FREDENSBORG KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;39.874,85;;FAVRSKOV KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;39.874,85;;FAVRSKOV KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;27.433,90;;AALBORG KOMMUNE;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;27.433,90;;AALBORG KOMMUNE;;;;;;;;;;;;;;;;
90540000;;;;;Debet;4.529.151,49;;Overførsel Kommunalt træk;;;;;;;;;;;;;;;;
95932008;;;;;Kredit;4.529.151,49;;Overførsel Kommunalt træk;;;;;;;;;;;;;;;;
90540000;;;;;Debet;142,78;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
79000000;;XG-0000004025-00002;;;Kredit;142,78;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;74.826,62;;P5908764988202504300000933180;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;74.826,62;;P5908764988202504300000933180;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5.684,00;;P5908764988202504300000933179;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5.684,00;;P5908764988202504300000933179;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3.055,60;;P5908764988202504300000933178;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;3.055,60;;P5908764988202504300000933178;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6.559,82;;P5908764988202504300000933177;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;6.559,82;;P5908764988202504300000933177;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.208,53;;P5908764988202504300000933176;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2.208,53;;P5908764988202504300000933176;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.730,33;;P5908764988202504300000933175;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2.730,33;;P5908764988202504300000933175;;;;;;;;;;;;;;;;
90540000;;;;;Debet;15.740,80;;P5908764988202504300000933174;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;15.740,80;;P5908764988202504300000933174;;;;;;;;;;;;;;;;
90540000;;;;;Debet;28.270,96;;P5908764988202504300000933173;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;28.270,96;;P5908764988202504300000933173;;;;;;;;;;;;;;;;
90540000;;;;;Debet;31.803,16;;P5908764988202504300000933172;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;31.803,16;;P5908764988202504300000933172;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.972,00;;P5908764988202504300000933171;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2.972,00;;P5908764988202504300000933171;;;;;;;;;;;;;;;;
90540000;;;;;Debet;30,17;;Overf. Skattestyrels               Meddelnr. 02193297525120;;;;;;;;;;;;;;;;
90520001;;;;;Kredit;30,17;;Overf. Skattestyrels               Meddelnr. 02193297525120;;;;;;;;;;;;;;;;
90540000;;;;;Debet;22.720,45;;Lemvig Kommune;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;22.720,45;;Lemvig Kommune;;;;;;;;;;;;;;;;
90540000;;;;;Debet;33.100.000,00;;P5908764988202504300000933168;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;33.100.000,00;;P5908764988202504300000933168;;;;;;;;;;;;;;;;
90540000;;;;;Debet;90.487,15;;Syddjurs Kommune;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;90.487,15;;Syddjurs Kommune;;;;;;;;;;;;;;;;
90540000;;;;;Debet;28.881,15;;Silkeborg Kommune;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;28.881,15;;Silkeborg Kommune;;;;;;;;;;;;;;;;
90540000;;;;;Debet;27.433,90;;Sønderborg Kommune;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;27.433,90;;Sønderborg Kommune;;;;;;;;;;;;;;;;
90540000;;;;;Debet;66.740,00;;Mariagerfjord Kommune;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;66.740,00;;Mariagerfjord Kommune;;;;;;;;;;;;;;;;
90540000;;;;;Debet;13.300,95;;Lolland Kommune;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;13.300,95;;Lolland Kommune;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2.369,50;;Brønderslev Kommune;;;;;;;;;;;;;;;;
95931700;;;;;Kredit;2.369,50;;Brønderslev Kommune;;;;;;;;;;;;;;;;
90540000;;;;;Debet;22.144,00;;AUBlønref 2411931296               Meddelnr. 02180525325120;;;;;;;;;;;;;;;;
90520001;;;;;Kredit;22.144,00;;AUBlønref 2411931296               Meddelnr. 02180525325120;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14.568,00;;P5908764988202504300000933160;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;14.568,00;;P5908764988202504300000933160;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14.568,00;;P5908764988202504300000933159;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;14.568,00;;P5908764988202504300000933159;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14.564,00;;P5908764988202504300000933158;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;14.564,00;;P5908764988202504300000933158;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.056,00;;AUB-befor 2411931296               Meddelnr. 02288186725120;;;;;;;;;;;;;;;;
90520001;;;;;Kredit;1.056,00;;AUB-befor 2411931296               Meddelnr. 02288186725120;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.440,00;;P5908764988202504300000933156;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1.440,00;;P5908764988202504300000933156;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.056,00;;P5908764988202504300000933155;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1.056,00;;P5908764988202504300000933155;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1.176,00;;P5908764988202504300000933154;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1.176,00;;P5908764988202504300000933154;;;;;;;;;;;;;;;;
90540000;;;;;Debet;104,06;;Nico Meuser;;;;;;;;;;;;;;;;
79000000;;XG-0000005086-00001;;;Kredit;104,06;;Nico Meuser;;;;;;;;;;;;;;;;
90540000;;;;;Debet;46.756,59;;Mobilepay 4000000000012904255;;;;;;;;;;;;;;;;
91407041;;;;;Kredit;46.756,59;;Mobilepay 4000000000012904255;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6.331,00;;Mobilepay 3000000000012904256;;;;;;;;;;;;;;;;
91407041;;;;;Kredit;6.331,00;;Mobilepay 3000000000012904256;;;;;;;;;;;;;;;;
90540000;;;;;Debet;997,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00044;;;Kredit;997,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;239,50;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00041;;;Kredit;239,50;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;107,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00040;;;Kredit;107,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;30,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00033;;;Kredit;30,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;155,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00048;;;Kredit;155,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;277,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00039;;;Kredit;277,00;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;608,50;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00038;;;Kredit;608,50;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
90540000;;;;;Debet;338,50;;Indtægter via MobilePay (OnlinePOS);;;;;;;;;;;;;;;;
